Constructing ISIC2019LT Dataset with imbalance factor=500
Training with 4 GPUS, waiting until all processes join before starting training
Total # images:13556, labels:13556, number of classes
Total # images:3874, labels:3874, number of classes
Total # images:1939, labels:1939, number of classes
Total # images:13556, labels:13556, number of classes
Total # images:13556, labels:13556, number of classes
Total # images:13556, labels:13556, number of classes

Epoch: [56/100] Iter [  14/  26] || Time: 10840.6992 sec || lr: 0.010000 || Loss: 0.8135
Epoch: [56/100] Iter [  24/  26] || Time: 10886.3758 sec || lr: 0.010000 || Loss: 0.7981
Epoch: [57/100] Iter [   8/  26] || Time: 10994.1031 sec || lr: 0.010000 || Loss: 0.8941
Epoch: [57/100] Iter [  18/  26] || Time: 11042.7756 sec || lr: 0.010000 || Loss: 0.7622
Epoch: [58/100] Iter [   2/  26] || Time: 11148.5128 sec || lr: 0.010000 || Loss: 0.8105
Epoch: [58/100] Iter [  12/  26] || Time: 11206.5191 sec || lr: 0.010000 || Loss: 0.7547
Epoch: [58/100] Iter [  22/  26] || Time: 11253.3926 sec || lr: 0.010000 || Loss: 0.7972
Epoch: [59/100] Iter [   6/  26] || Time: 11359.6197 sec || lr: 0.010000 || Loss: 0.7981
Epoch: [59/100] Iter [  16/  26] || Time: 11409.3463 sec || lr: 0.010000 || Loss: 0.7963
Epoch: [59/100] Iter [  26/  26] || Time: 11471.2435 sec || lr: 0.010000 || Loss: 0.7754
Epoch: [60/100] Iter [  10/  26] || Time: 11563.4687 sec || lr: 0.010000 || Loss: 0.7740
Epoch: [60/100] Iter [  20/  26] || Time: 11611.0611 sec || lr: 0.010000 || Loss: 0.8206
Epoch: [61/100] Iter [   4/  26] || Time: 11717.6952 sec || lr: 0.010000 || Loss: 0.8713
Epoch: [61/100] Iter [  14/  26] || Time: 11771.6136 sec || lr: 0.010000 || Loss: 1.0020
Epoch: [61/100] Iter [  24/  26] || Time: 11819.3840 sec || lr: 0.010000 || Loss: 0.9301
Epoch: [62/100] Iter [   8/  26] || Time: 11930.2240 sec || lr: 0.010000 || Loss: 0.7819
Epoch: [62/100] Iter [  18/  26] || Time: 11978.5633 sec || lr: 0.010000 || Loss: 0.9723
Epoch: [63/100] Iter [   2/  26] || Time: 12085.3573 sec || lr: 0.010000 || Loss: 0.8086
Epoch: [63/100] Iter [  12/  26] || Time: 12145.5567 sec || lr: 0.010000 || Loss: 0.8142
Epoch: [63/100] Iter [  22/  26] || Time: 12192.9878 sec || lr: 0.010000 || Loss: 0.7781
Epoch: [64/100] Iter [   6/  26] || Time: 12304.9860 sec || lr: 0.010000 || Loss: 0.7724
Epoch: [64/100] Iter [  16/  26] || Time: 12354.4389 sec || lr: 0.010000 || Loss: 0.7890
Epoch: [64/100] Iter [  26/  26] || Time: 12414.2922 sec || lr: 0.010000 || Loss: 0.7900
Epoch: [65/100] Iter [  10/  26] || Time: 12507.3830 sec || lr: 0.010000 || Loss: 0.7340
Epoch: [65/100] Iter [  20/  26] || Time: 12555.3002 sec || lr: 0.010000 || Loss: 0.8255
Epoch: [66/100] Iter [   4/  26] || Time: 12659.9777 sec || lr: 0.010000 || Loss: 0.8023
Epoch: [66/100] Iter [  14/  26] || Time: 12712.1305 sec || lr: 0.010000 || Loss: 0.8610
Epoch: [66/100] Iter [  24/  26] || Time: 12758.7760 sec || lr: 0.010000 || Loss: 0.7843
Epoch: [67/100] Iter [   8/  26] || Time: 12870.8229 sec || lr: 0.010000 || Loss: 0.7454
Epoch: [67/100] Iter [  18/  26] || Time: 12918.8856 sec || lr: 0.010000 || Loss: 0.7432
Epoch: [68/100] Iter [   2/  26] || Time: 13021.0514 sec || lr: 0.010000 || Loss: 0.7372
Epoch: [68/100] Iter [  12/  26] || Time: 13079.2361 sec || lr: 0.010000 || Loss: 0.7253
Epoch: [68/100] Iter [  22/  26] || Time: 13127.2607 sec || lr: 0.010000 || Loss: 0.7818
Epoch: [69/100] Iter [   6/  26] || Time: 13241.3841 sec || lr: 0.010000 || Loss: 0.7854
Epoch: [69/100] Iter [  16/  26] || Time: 13290.6300 sec || lr: 0.010000 || Loss: 0.8186
Epoch: [69/100] Iter [  26/  26] || Time: 13350.7480 sec || lr: 0.010000 || Loss: 0.8462
Epoch: [70/100] Iter [  10/  26] || Time: 13442.8776 sec || lr: 0.010000 || Loss: 0.7824
Epoch: [70/100] Iter [  20/  26] || Time: 13491.5179 sec || lr: 0.010000 || Loss: 0.7441
Epoch: [71/100] Iter [   4/  26] || Time: 13606.9124 sec || lr: 0.010000 || Loss: 0.8334
Epoch: [71/100] Iter [  14/  26] || Time: 13660.5652 sec || lr: 0.010000 || Loss: 0.7562
Epoch: [71/100] Iter [  24/  26] || Time: 13707.3920 sec || lr: 0.010000 || Loss: 0.7386
Epoch: [72/100] Iter [   8/  26] || Time: 13826.6896 sec || lr: 0.010000 || Loss: 0.6968
Epoch: [72/100] Iter [  18/  26] || Time: 13878.3885 sec || lr: 0.010000 || Loss: 0.7977
Epoch: [73/100] Iter [   2/  26] || Time: 13986.5275 sec || lr: 0.010000 || Loss: 0.7862
Epoch: [73/100] Iter [  12/  26] || Time: 14045.4761 sec || lr: 0.010000 || Loss: 0.7157
Epoch: [73/100] Iter [  22/  26] || Time: 14092.0406 sec || lr: 0.010000 || Loss: 0.7111
Epoch: [74/100] Iter [   6/  26] || Time: 14201.4799 sec || lr: 0.010000 || Loss: 0.6721
Epoch: [74/100] Iter [  16/  26] || Time: 14251.6731 sec || lr: 0.010000 || Loss: 0.7601
Epoch: [74/100] Iter [  26/  26] || Time: 14312.2327 sec || lr: 0.010000 || Loss: 0.7641
Epoch: [75/100] Iter [  10/  26] || Time: 14404.9873 sec || lr: 0.010000 || Loss: 0.6986
Epoch: [75/100] Iter [  20/  26] || Time: 14452.3622 sec || lr: 0.010000 || Loss: 0.6690
Epoch: [76/100] Iter [   4/  26] || Time: 14558.7595 sec || lr: 0.010000 || Loss: 0.7922
Epoch: [76/100] Iter [  14/  26] || Time: 14612.8921 sec || lr: 0.010000 || Loss: 0.7261
Epoch: [76/100] Iter [  24/  26] || Time: 14658.6205 sec || lr: 0.010000 || Loss: 0.7623
Epoch: [77/100] Iter [   8/  26] || Time: 14768.6575 sec || lr: 0.010000 || Loss: 0.7085
